template_developerName,folder,firedByType,firedBy_alerts,total_flow_invocations,confidence
Closed_Lost_reasons_Opportunity,unfiled$public,WorkflowEmailAlert,Opportunity.CS_Closed_lost_reasons(flowx2); Opportunity.PRO_Closed_lost_reasons(flowx2),4,LIVE (flow-invoked)
Data_Team_Enrich_Account,unfiled$public,WorkflowEmailAlert,Opportunity.Data_Team_Enrich_Account(flowx3),3,LIVE (flow-invoked)
NB_Sales_handshake_Lex_Pro,unfiled$public,WorkflowEmailAlert,Customer_Journey__c.Content_Subs_NB_Handshake2(flowx0); Customer_Journey__c.Lex_Pro_NB_Handshake(flowx3); Customer_Journey__c.Lex_Pro_NB_Handshake2(flowx0); Customer_Journey__c.Sales_handshake(flowx0); Opportunity.CS_NB_Handshake(flowx0); Opportunity.PRO_NB_Handshake(flowx0),3,LIVE (flow-invoked)
WWL_Closed_Won_Opportunity_1719699423239,unfiled$public,WorkflowEmailAlert,Opportunity.WWL_Annual_Licence_closed_won_email_alert(flowx0); Opportunity.WWL_Annual_Report_closed_won_email_alert(flowx1); Opportunity.WWL_closed_won_email_alert(flowx2),3,LIVE (flow-invoked)
NB_BG_Sales_handshake_Lex_Pro,unfiled$public,WorkflowEmailAlert,Customer_Journey__c.Lex_Pro_BG_Handshake(flowx2),2,LIVE (flow-invoked)
NB_Sales_handshake_CS,unfiled$public,WorkflowEmailAlert,Customer_Journey__c.Content_Subs_NB_Handshake(flowx2),2,LIVE (flow-invoked)
Closed_Won_Email_Alert_to_admin_1723627895026,unfiled$public,WorkflowEmailAlert,Opportunity.Closed_Won_Deal(flowx1),1,LIVE (flow-invoked)
LexPro_Opp_Closed_Won_1709065892738,unfiled$public,WorkflowEmailAlert,Opportunity.LexPro_Closed_Won_Alert(flowx1),1,LIVE (flow-invoked)
Opportunity_Credit_Card,CPQ_AA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.opportunity_Credit_Card(flowx1),1,LIVE (flow-invoked)
Requesting_for_Direct_Debit,CPQ_AA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.Opportunity_Direct_Debit_Card(flowx1),1,LIVE (flow-invoked)
TestBadDebtor,CPQ_AA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.BadDebtorClosedLostEmailAlert(flowx1),1,LIVE (flow-invoked)
CS_Contact_Notification,unfiled$public,WorkflowEmailAlert,Opportunity.CS_Contact_Notification(flowx0),0,ALERT-DEF ONLY (verify: approval-proc/PB in-org)
Opportunity_Approved_Message,SA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.Approval_email_notification(flowx0),0,ALERT-DEF ONLY (verify: approval-proc/PB in-org)
Opportunity_Auto_Closed_Lost,SA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.Opportunity_Auto_Closed_Lost(flowx0),0,ALERT-DEF ONLY (verify: approval-proc/PB in-org)
Opportunity_Recall_Message,SA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.Opportunity_Recall_email_notification(flowx0),0,ALERT-DEF ONLY (verify: approval-proc/PB in-org)
Opportunity_Rejected_Message,SA_Opportunity_Email_Templates,WorkflowEmailAlert,Opportunity.Opportunity_Rejection_email_notification(flowx0); Opportunity.Rejection_email_notification(flowx0),0,ALERT-DEF ONLY (verify: approval-proc/PB in-org)
