Category,Opp Id,Name,Account,Stage,Close,Stored Code,Derived Code (revenue rule),LAWM revenue,LWKM revenue,Link
SHOULD_BE_BLANK,006Px00000Ljae2IAB,1850715955-RAYNES LAWN-2025 LRL,Raynes & Lawn,Closed Won,2025-09-30,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ljae2IAB
SHOULD_BE_BLANK,006Px00000LkQ9dIAF,White Case - Research Suite,White & Case LLP,Closed Won,2025-12-16,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkQ9dIAF
SHOULD_BE_BLANK,006Px00000LkQAhIAN,New Columbia University NewsVault-NJU,Columbia Law School,Closed Won,2026-02-05,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkQAhIAN
SHOULD_BE_BLANK,006Px00000LkT99IAF,1850717652-G&T SERVICE COMPANY PTY LTD-2026 LAW,G&T Service Company Pty Ltd,Closed Won,2026-02-20,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkT99IAF
SHOULD_BE_BLANK,006Px00000LkT9AIAV,1850717663-G&T SERVICE COMPANY PTY LTD-2026 LWK,G&T Service Company Pty Ltd,Closed Won,2026-02-20,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkT9AIAV
SHOULD_BE_BLANK,006Px00000LkTJIIA3,1850717873 - Carlos Tames - Galicia Abogados - LWKM,Galicia Abogados,Closed Won,2026-03-04,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkTJIIA3
SHOULD_BE_BLANK,006Px00000LkTJJIA3,1850717874 - Carlos Tames - Galicia Abogados - LAWM,Galicia Abogados,Closed Won,2026-03-04,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkTJJIA3
SHOULD_BE_BLANK,006Px00000LkTgpIAF,1850370628-COLUMBIA LAW SCHOOL LIBRARY-2026 LAW,Columbia Law School,Closed Won,2026-02-05,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkTgpIAF
SHOULD_BE_BLANK,006Px00000LkU7qIAF,1850718534 - Christophe Chatelle - Van Bael & Bellis - LWKM,Van Bael & Bellis,Closed Won,2026-03-19,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkU7qIAF
SHOULD_BE_BLANK,006Px00000LkhhyIAB,1850370307-NAT'L ASSOC FOR LAW PLACEMENT-2024 LAW,National Association For Law Placement,Closed Won,2024-11-12,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkhhyIAB
SHOULD_BE_BLANK,006Px00000Lki2SIAR,1850647548-NAT'L ASSOC FOR LAW PLACEMENT-2024 LWK,National Association For Law Placement,Closed Won,2024-11-12,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Lki2SIAR
SHOULD_BE_BLANK,006Px00000LkikRIAR,1850703063-INTAPP INC-2024 LAW,Intapp Inc,Closed Won,2024-11-11,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkikRIAR
SHOULD_BE_BLANK,006Px00000LkikSIAR,1850691660-INTAPP INC-2024 LGC,Intapp Inc,Closed Won,2024-11-11,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkikSIAR
SHOULD_BE_BLANK,006Px00000LkikTIAR,1850703064-INTAPP INC-2024 LWK,Intapp Inc,Closed Won,2024-11-11,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LkikTIAR
SHOULD_BE_BLANK,006Px00000Ll2bOIAR,New D'Angelo Law Lib University of Chicago Law.com International-NJU,D'Angelo Law Library - University Of Chicago,Closed Won,2025-08-25,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bOIAR
SHOULD_BE_BLANK,006Px00000Ll2bQIAR,NEW UNIVERSITY OF PENNSYLVANIA STATE COURTS-NJU,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bQIAR
SHOULD_BE_BLANK,006Px00000Ll2bRIAR,NEW UNIVERSITY OF PENNSYLVANIA LAW.COM COMPASS-NJU,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bRIAR
SHOULD_BE_BLANK,006Px00000Ll2bSIAR,NEW UNIVERSITY OF PENNSLYVANIA NEWSVAULT-NJU,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bSIAR
SHOULD_BE_BLANK,006Px00000Ll2bTIAR,NEW-UNIVERSITY OF PENNSYLVANIA-2025 VERDICT SEARCH-NJU,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bTIAR
SHOULD_BE_BLANK,006Px00000Ll2bVIAR,New University of Michigan State Courts-NJU,University Of Michigan,Closed Won,2025-05-15,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bVIAR
SHOULD_BE_BLANK,006Px00000Ll2bXIAR,New University of Chicago Verdict Search-NJU,D'Angelo Law Library - University Of Chicago,Closed Won,2025-08-25,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000Ll2bXIAR
SHOULD_BE_BLANK,006Px00000LlGepIAF,1850629390-UNIVERSITY OF PENNSYLVANIA-2025 LAW,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGepIAF
SHOULD_BE_BLANK,006Px00000LlGeqIAF,1850517571-UNIVERSITY OF PENNSYLVANIA-2025 CHL,University Of Pennsylvania Carey Law School,Closed Won,2025-05-06,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGeqIAF
SHOULD_BE_BLANK,006Px00000LlGeuIAF,1850677075-UNIVERSITY OF TEXAS AT AUSTIN-2025 LAW,University Of Texas,Closed Won,2025-10-03,1,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGeuIAF
SHOULD_BE_BLANK,006Px00000LlGexIAF,1850372214-UNIVERSITY OF WISCONSIN-2025 LAW,University Of Wisconsin School Of Law,Closed Won,2025-08-29,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGexIAF
SHOULD_BE_BLANK,006Px00000LlGeyIAF,1850708306-UNIVERSITY OF WISCONSIN-2025 LWK,University Of Wisconsin School Of Law,Closed Won,2025-08-29,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGeyIAF
SHOULD_BE_BLANK,006Px00000LlGfDIAV,1850714079-SMU LAW LIBRARY-2025 LWK,Smu Law Library,Closed Won,2025-04-24,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGfDIAV
SHOULD_BE_BLANK,006Px00000LlGfFIAV,1850705405-RUSSELL REYNOLDS ASSOCIATES-2026 LAW,Russell Reynolds,Closed Won,2025-11-25,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGfFIAV
SHOULD_BE_BLANK,006Px00000LlGfGIAV,1850705418-RUSSELL REYNOLDS ASSOCIATES-2026 LWK,Russell Reynolds,Closed Won,2025-11-25,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlGfGIAV
SHOULD_BE_BLANK,006Px00000LlLBRIA3,1850700175-FAIRFAX ASSOCIATES-2025 LWK,Fairfax Associates,Closed Won,2025-04-28,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlLBRIA3
SHOULD_BE_BLANK,006Px00000LlLBXIA3,1850715664-BOUND PARTNERS-2025 LWK,Bound Partners,Closed Won,2025-09-12,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlLBXIA3
SHOULD_BE_BLANK,006Px00000LlLBpIAN,1850686599-CLIFF GROUP-2025 LAW,Cliff Group,Closed Won,2025-05-28,3,none,,,https://lawbusinessresearch.my.salesforce.com/006Px00000LlLBpIAN
