g300_id,g300_name,issues,created_date
001Px00000VvoSRIAZ,Addleshaw Goddard LLP,"office_count_stale:field=1,actual=25",2021-01-20T19:15:06.000+0000
001Px00000VviUoIAJ,Allen Matkins Leck Gamble Mallory & Natsis LLP,"office_count_stale:field=8,actual=9",2021-01-20T19:17:41.000+0000
001Px00000VwRPGIA3,Allens,"office_count_stale:field=1,actual=14",2021-01-20T19:17:47.000+0000
001Px00000Vve0tIAB,ArentFox Schiff LLP,"office_count_stale:field=14,actual=15",2021-01-20T19:20:30.000+0000
001Px00000VvNVEIA3,Arnold & Porter Kaye Scholer LLP,"office_count_stale:field=2,actual=25",2021-01-20T19:20:49.000+0000
001Px00000WkEleIAF,Ashurst LLP,"office_count_stale:field=1,actual=36",2021-01-20T19:21:17.000+0000
0016g00001ANpmCAAT,"Atkinson, Andelson, Loya, Ruud & Romo P.C.","office_count_stale:field=4,actual=7",2021-01-20T19:21:56.000+0000
001Px00000VvWU0IAN,Baker & Hostetler LLP,"office_count_stale:field=1,actual=32",2021-01-20T19:23:28.000+0000
0016g00001ANqbFAAT,Baker Botts L.L.P.,"office_count_stale:field=19,actual=22",2021-01-20T19:23:28.000+0000
0016g00001ANqcEAAT,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC","office_count_stale:field=21,actual=25",2021-01-20T19:23:28.000+0000
0016g00001ANqfwAAD,Ballard Spahr LLP,"office_count_stale:field=27,actual=32",2021-01-20T19:23:35.000+0000
0016g00001ANr4aAAD,Barnes & Thornburg LLP,"office_count_stale:field=25,actual=26",2021-01-20T19:24:18.000+0000
001Px00000VvZ3uIAF,"Bass, Berry & Sims PLC","office_count_stale:field=6,actual=7",2021-01-20T19:24:36.000+0000
0016g00001ANrikAAD,"Benesch, Friedlander, Coplan & Aronoff, LLP","office_count_stale:field=10,actual=16",2021-01-20T19:25:35.000+0000
001Px00000VvNVPIA3,Bird & Bird LLP,"office_count_stale:field=1,actual=39",2021-01-20T19:26:35.000+0000
0016g00001ANsQTAA1,"Blake, Cassels & Graydon LLP","office_count_stale:field=8,actual=10",2021-01-20T19:26:52.000+0000
0016g00001ANsRWAA1,Blank Rome LLP,"office_count_stale:field=17,actual=20",2021-01-20T19:26:52.000+0000
0016g00001ANsjEAAT,Boies Schiller Flexner LLP,"office_count_stale:field=20,actual=23",2021-01-20T19:27:30.000+0000
0016g00001ANsmuAAD,"Bond, Schoeneck & King PLLC","office_count_stale:field=9,actual=14",2021-01-20T19:27:36.000+0000
0016g00001ANt2nAAD,Bracewell LLP,"office_count_stale:field=16,actual=20",2021-01-20T19:28:04.000+0000
0016g00001ANt3wAAD,Bradley Arant Boult Cummings LLP,"office_count_stale:field=12,actual=18",2021-01-20T19:28:04.000+0000
0016g00001ANtYLAA1,Brown Rudnick LLP,"office_count_stale:field=10,actual=11",2021-01-20T19:29:01.000+0000
0016g00001ANtcKAAT,Bryan Cave Leighton Paisner LLP,"office_count_stale:field=41,actual=46",2021-01-20T19:29:08.000+0000
001Px00000VwVwuIAF,Buchalter LLP,"office_count_stale:field=1,actual=13",2021-01-20T19:29:14.000+0000
0016g00001ANtzyAAD,Butler Snow LLP,"office_count_stale:field=21,actual=23",2021-01-20T19:29:51.000+0000
0016g00001ANuIZAA1,Cahill Gordon & Reindel LLP,"office_count_stale:field=3,actual=5",2021-01-20T19:30:27.000+0000
0016g00001ANvkyAAD,"Chamberlain, Hrdlicka, White, Williams & Aughtry, P.C.","office_count_stale:field=6,actual=10",2021-01-20T19:33:18.000+0000
001Px00000Vvo8DIAR,Clark Hill PLC,"office_count_stale:field=6,actual=34",2021-01-20T19:35:08.000+0000
0016g00001ANwoPAAT,Clayton Utz,"office_count_stale:field=8,actual=9",2021-01-20T19:35:13.000+0000
001Px00000VvvMKIAZ,Clifford Chance LLP,"office_count_stale:field=2,actual=43",2021-01-20T19:35:25.000+0000
0016g00001ANrupAAD,Clyde & Co LLP,"office_count_stale:field=72,actual=77",2021-01-20T19:25:53.000+0000
001Px00000VvpdsIAB,Cole Schotz P.C.,"office_count_stale:field=7,actual=9",2021-01-20T19:36:02.000+0000
001Px00000VvpM3IAJ,"Cole, Scott & Kissane, P.A","office_count_stale:field=1,actual=7",2021-01-20T19:36:02.000+0000
001Px00000Vvg80IAB,Cooley LLP,"office_count_stale:field=2,actual=29",2021-01-20T19:37:27.000+0000
0016g00001ANy9vAAD,Corrs Chambers Westgarth,"office_count_stale:field=10,actual=12",2021-01-20T19:37:52.000+0000
001Px00000VvMI4IAN,Covington & Burling LLP,"office_count_stale:field=1,actual=16",2021-01-20T19:38:09.000+0000
0016g00001ANyMkAAL,Cozen O'Connor,"office_count_stale:field=38,actual=40",2021-01-20T19:38:15.000+0000
001Px00000VvRLzIAN,"Cravath, Swaine & Moore LLP","office_count_stale:field=5,actual=6",2021-01-20T19:38:21.000+0000
0016g00001ANtMyAAL,Crowell & Moring LLP,"office_count_stale:field=18,actual=20",2021-01-20T19:28:38.000+0000
001Px00000VvOliIAF,"Cuatrecasas Gonçalves Pereira, S.L.P.","office_count_stale:field=2,actual=33",2021-01-20T19:39:05.000+0000
0016g00001ANzSKAA1,Davis Polk & Wardwell LLP,"office_count_stale:field=12,actual=15",2021-01-20T19:40:24.000+0000
0016g00001ANzenAAD,Debevoise & Plimpton LLP,"office_count_stale:field=11,actual=13",2021-01-20T19:40:50.000+0000
001Px00000VvNUeIAN,Dechert LLP,"office_count_stale:field=1,actual=29",2021-01-20T19:40:56.000+0000
001Px00000VvOlmIAF,Dentons,"office_count_stale:field=10,actual=207",2016-12-09T17:55:57.000+0000
001Px00000VxMoFIAV,Dinsmore & Shohl LLP,"office_count_stale:field=1,actual=26",2021-01-20T19:42:14.000+0000
001Px00000VvbOnIAJ,Dorsey & Whitney LLP,"office_count_stale:field=20,actual=22",2021-01-20T19:42:55.000+0000
0016g00001AO1WRAA1,"Eckert Seamans Cherin & Mellott, LLC","office_count_stale:field=7,actual=12",2021-01-20T19:44:26.000+0000
001Px00000VwVrQIAV,Fangda Partners,"office_count_stale:field=1,actual=8",2021-01-20T19:48:29.000+0000
001Px00000Vvic0IAB,Fasken Martineau DuMoulin LLP,"office_count_stale:field=2,actual=17",2021-01-20T19:48:41.000+0000
0016g00001AO6I7AAL,FBT Gibbons LLP,"office_count_stale:field=25,actual=31",2021-01-20T19:51:40.000+0000
0016g00001AO46uAAD,Fidal SELAS Société d’Avocats,"office_count_stale:field=9,actual=10",2021-01-20T19:49:19.000+0000
0016g00001AO4HZAA1,"Finnegan, Henderson, Farabow, Garrett & Dunner, LLP","office_count_stale:field=13,actual=17",2021-01-20T19:49:43.000+0000
0016g00001AO4yUAAT,Fox Rothschild LLP,"office_count_stale:field=38,actual=39",2021-01-20T19:51:04.000+0000
0016g00001AO50KAAT,"Fragomen, Del Rey, Bernsen & Loewy LLP","office_count_stale:field=67,actual=74",2021-01-20T19:51:04.000+0000
001Px00000VyIdIIAV,"Freeman Mathis & Gary, LLP","office_count_stale:field=3,actual=4",2021-01-20T19:51:21.000+0000
001Px00000Vvu2dIAB,Freshfields LLP,"office_count_stale:field=2,actual=45",2021-01-20T19:51:28.000+0000
001Px00000VvhX4IAJ,"Fried, Frank, Harris, Shriver & Jacobson LLP","office_count_stale:field=1,actual=9",2021-01-20T19:51:34.000+0000
001Px00000j5PGuIAM,Frost Brown Todd,blank_website;blank_segmentation,2026-08-20T18:19:21.000+0000
0016g00001AO5nxAAD,Gateley PLC,"office_count_stale:field=33,actual=35",2021-01-20T19:14:59.000+0000
0016g00001AO6J6AAL,"Gibson, Dunn & Crutcher LLP","office_count_stale:field=25,actual=26",2021-01-20T19:53:36.000+0000
001Px00000VwgnHIAR,Gide Loyrette Nouel,"office_count_stale:field=1,actual=21",2021-01-20T19:53:36.000+0000
001Px00000VvNUnIAN,Goodwin Procter LLP,"office_count_stale:field=1,actual=26",2021-01-20T19:54:52.000+0000
001Px00000Vva9jIAB,"Gordon Rees Scully Mansukhani, LLP","office_count_stale:field=48,actual=50",2021-01-20T19:54:58.000+0000
0016g00001AO73fAAD,Gowling WLG,"office_count_stale:field=20,actual=22",2021-01-20T19:55:04.000+0000
001Px00000Vvh6AIAR,Greenberg Traurig LLP,"office_count_stale:field=1,actual=58",2021-01-20T19:55:35.000+0000
001Px00000VvidnIAB,Hanson Bridgett LLP,"office_count_stale:field=1,actual=6",2021-01-20T19:57:19.000+0000
001Px00000VvTdpIAF,"Hinckley, Allen & Snyder LLP","office_count_stale:field=1,actual=11",2021-01-20T19:59:14.000+0000
0016g00001AO9DmAAL,Hinshaw & Culbertson LLP,"office_count_stale:field=17,actual=18",2021-01-20T19:59:14.000+0000
