tier,signal,signal_count,g300_id,g300_name,g300_website,g300_created,g300_child_offices,g300_contacts,g300_opportunities,candidate_id,candidate_name,candidate_website,candidate_created,candidate_created_by,candidate_is_older,candidate_child_offices,candidate_contacts,candidate_opportunities
1,"alias_exact, name_short_form",2,001Px00000VvfTpIAJ,Allen Overy Shearman Sterling LLP,www.aoshearman.com,2021-01-20T19:17:41.000+0000,57,6867,3528,001Px00000j5Bs7IAE,Allen & Overy LLP,,2026-08-20T18:15:15.000+0000,Kieran Hansen,N,1,1,12
1,alias_exact,1,001Px00000VvfTpIAJ,Allen Overy Shearman Sterling LLP,www.aoshearman.com,2021-01-20T19:17:41.000+0000,57,6867,3528,001Px00000j5MtYIAU,Shearman Sterling,,2026-08-20T18:20:17.000+0000,Kieran Hansen,N,1,1,5
1,name_exact,1,001Px00000VvXqOIAV,Alston & Bird LLP,www.alston.com,2021-01-20T19:18:07.000+0000,21,1512,789,001Px00000j5NuwIAE,Alston Bird,,2026-08-20T18:15:15.000+0000,Kieran Hansen,N,1,1,25
1,name_exact,1,001Px00000Vve0tIAB,ArentFox Schiff LLP,www.afslaw.com,2021-01-20T19:20:30.000+0000,15,1230,582,001Px00000heaAUIAY,ArentFox Schiff,,2026-07-25T18:08:21.000+0000,Kieran Hansen,N,3,3,2
1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000hlb4QIAQ,BALLARD SPAHR LLP,,2025-12-18T15:37:15.000+0000,Scott Lewis,N,1,1,0
1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000heW9jIAE,Ballard Spahr,,2026-07-25T18:08:30.000+0000,Kieran Hansen,N,1,1,0
1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000heW9kIAE,Ballard Spahr LLP,,2026-07-25T18:08:30.000+0000,Kieran Hansen,N,1,2,2
1,name_exact,1,0016g00001ANsRWAA1,Blank Rome LLP,www.blankrome.com,2021-01-20T19:26:52.000+0000,20,636,400,001Px00000hlfWxIAI,Blank Rome,,2026-06-16T15:17:40.000+0000,Kieran Hansen,N,1,2,0
1,alias_exact,1,0016g00001ANtcKAAT,Bryan Cave Leighton Paisner LLP,www.bclplaw.com,2021-01-20T19:29:08.000+0000,46,2542,921,001Px00000VwXFjIAN,"Berwin, Leighton, Paisner, LLP",,2025-11-13T12:17:04.000+0000,Kieran Hansen,N,1,8,1
1,"alias_exact, name_short_form",2,0016g00001ANtcKAAT,Bryan Cave Leighton Paisner LLP,www.bclplaw.com,2021-01-20T19:29:08.000+0000,46,2542,921,001Px00000jNSCNIA4,Bryan Cave,www.bryancave.com,2026-08-26T15:41:48.000+0000,Kieran Hansen,N,1,0,0
1,name_exact,1,0016g00001ANx1bAAD,CMS Legal,www.cms.law,2021-01-20T19:31:35.000+0000,106,6828,3358,001Px00000heZGcIAM,CMS,,2026-07-25T18:09:21.000+0000,Kieran Hansen,N,1,1,0
1,name_exact,1,0016g00001ANx1bAAD,CMS Legal,www.cms.law,2021-01-20T19:31:35.000+0000,106,6828,3358,001Px00000heZgvIAE,CMS,,2026-07-25T18:08:12.000+0000,Kieran Hansen,N,1,2,0
