AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
0014L000002hY15QAE,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L000002hY5gQAE,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000AymGVQAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000AyuPDQAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000AyzpmQAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000Az5ANQAZ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000Az7V4QAJ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000AzCQuQAN,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000AzCQvQAN,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000AzCV6QAN,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000BSF4fQAH,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000BTv49QAD,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000C4lABQAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000CKOnrQAH,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000CKavmQAD,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000CKavmQAD,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000CLuAcQAL,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000CMPd8QAH,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000CO7uwQAD,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000DijXdQAJ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000Dj7RDQAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000DjhJwQAJ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000Djhr1QAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000FFJr4QAH,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000FFK06QAH,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
0014L00000FFWKsQAP,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000FFmMkQAL,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
0014L00000FFpZgQAL,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
