AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvZ4FIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx85IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvp7MIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvL1kIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvlIWIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsCKIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvkhEIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrpRIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Tm00000MtJoRIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvjS0IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvU88IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000do4tBIAQ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Tm00000MESEaIAP,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
0016g00001ANnwrAAD,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdW1IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000WkhdsIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XftjzIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
0016g00001AOE8pAAH,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvv4JIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvUnxIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrkEIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvpg5IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvTiCIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvVBXIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Tm00000MEIvkIAH,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsEIIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
