AccountId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
0014L00000MxiQLQAZ,Law.com CSM,Edit,Read,None,Edit
0014L00000SPlWoQAL,Law.com CSM,Edit,Read,None,Edit
0014L00000TxLVmQAN,Law.com CSM,Edit,Read,None,Edit
0014L00000XNtHIQA1,Law.com CSM,Edit,Read,None,Edit
0014L00000k4r85QAA,Law.com CSM,Edit,Read,None,Edit
0014L00000lO54DQAS,Law.com CSM,Edit,Read,None,Edit
0016g00001ANlWzAAL,Law.com CSM,Edit,Read,None,Edit
0016g00001ANndmAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANo7sAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANoLTAA1,Law.com CSM,Edit,Read,None,Edit
0016g00001ANre8AAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANu2bAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANv7tAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANv89AAD,Law.com CSM,Edit,Read,None,Edit
0016g00001ANwMUAA1,Law.com CSM,Edit,Read,None,Edit
0016g00001ANxMBAA1,Law.com CSM,Edit,Read,None,Edit
0016g00001ANy5BAAT,Law.com CSM,Edit,Read,None,Edit
0016g00001AO02xAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001AO0kmAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001AO6sVAAT,Law.com CSM,Edit,Read,None,Edit
0016g00001AO6vTAAT,Law.com CSM,Edit,Read,None,Edit
0016g00001AO886AAD,Law.com CSM,Edit,Read,None,Edit
0016g00001AO8KdAAL,Law.com CSM,Edit,Read,None,Edit
0016g00001AO93bAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001AO98zAAD,Law.com CSM,Edit,Read,None,Edit
0016g00001AO9DaAAL,Law.com CSM,Edit,Read,None,Edit
0016g00001AOAvdAAH,Law.com CSM,Edit,Read,None,Edit
0016g00001AODNyAAP,Law.com CSM,Edit,Read,None,Edit
0016g00001AOESHAA5,Law.com CSM,Edit,Read,None,Edit
