LBR_Legal_Entity__c,closeYear,CurrencyIsoCode,recs,sumAmount,sumACV
"ALM Global, LLC",2021,GBP,121,395288.03,-8422.32
"ALM Global, LLC",2021,USD,6,19110.72,
"ALM Global, LLC",2022,GBP,336,1415676.1,8569.58
"ALM Global, LLC",2022,USD,3,9587.5,
"ALM Global, LLC",2023,GBP,328,1296397.44,37882.24
"ALM Global, LLC",2023,USD,8,14719.93,0
"ALM Global, LLC",2024,GBP,391,1574556.53,216267.51
"ALM Global, LLC",2024,USD,5,11343.59,6038.86
"ALM Global, LLC",2025,GBP,104,526605,106400.94
"ALM Global, LLC",2025,USD,2,3108.81,3108.81
"ALM Global, LLC",2026,GBP,129,623315.2,93155.75
"ALM Global, LLC",2026,USD,2,4933.83,1127.82
"ALM Global, LLC",2027,GBP,7,,0
"ALM Global, LLC",2030,GBP,2,20874,6958
