LBR_Legal_Entity__c,closeYear,CurrencyIsoCode,recs,sumAmount
Law Business Research LLC,2025,GBP,7,38637.24
Law Business Research LLC,2025,USD,122,2047485.18
Law Business Research LLC,2026,GBP,25,169395.47
Law Business Research LLC,2026,USD,180,1971463.62
Law Business Research LLC,2027,GBP,15,160275.24
Law Business Research LLC,2027,USD,85,1143843.13
Law Business Research LLC,2028,GBP,10,328147.94
Law Business Research LLC,2028,USD,60,1901182.17
Law Business Research LLC,2029,GBP,1,10185
Law Business Research LLC,2029,USD,16,384554.89
