Salesforce Product ID,Product Code,Product Name,Active (Product),Product Description,License Model,Subscription Model,Logo
01tPx00000C0fPBIAZ,PCEM,PCGE Annual Membership - Private Client Forum Americas,1,,,Time-Based,Law.com
01tPx00000C0gMvIAJ,PCEM,PCGE Annual Membership - Trust And Estates Litigation Forum,1,,,Time-Based,Law.com
01tPx00000C0gQ9IAJ,PCEM,PCGE Annual Membership - International Private Client Forum,1,,,Time-Based,Law.com
01tPx00000C0gUzIAJ,PCEM,PCGE Annual Membership - Strategy Forum,1,,,Time-Based,Law.com
01tPx00000C0gWbIAJ,PCEM,PCGE Annual Membership - MOTF,1,,,Time-Based,Law.com
01tPx00000C0gYDIAZ,PCEM,PCGE Annual Membership - Exchange,1,,,Time-Based,Law.com
01tPx00000C1c2jIAB,PCEM,PCGE Annual Membership,1,,,Time-Based,Law.com
01tPx00000C43TRIAZ,PCEM,"PCGE Annual Membership - Access To The Network, Invites To Dinners, Lunches, Contribution To The Month Etc",1,,,Time-Based,Law.com
01tPx00000C47QbIAJ,GLBM - Individual Membership,Global Leaders in Law Annual Membership - Individual Membership,1,Law.com,,Time-Based,Lexology Pro
01tPx00000C47SDIAZ,GLBM - Team Membership,Global Leaders in Law Annual Membership - Team Membership,1,Law.com,,Time-Based,Lexology Pro
01tPx00000DLYt5IAH,CLL,Commercial Leasing Law and Strategy,1,,,Time-Based,Law.com
01tPx00000DLYtGIAX,DBRM,Daily Business Review,1,,,Time-Based,Law.com
01tPx00000DLYtLIAX,DRGM,Daily Report,1,,,Time-Based,Law.com
01tPx00000DLYuLIAX,NJLM,New Jersey Law Journal,1,,,Time-Based,Law.com
01tPx00000DLYuRIAX,NRO,New York Real Estate Law Report Online,1,,,Time-Based,Law.com
01tPx00000DLYvtIAH,PLWM,Pennsylvania Law Weekly,1,Pennsylvania Law Weekly,,Time-Based,Law.com
01tPx00000NZwrtIAD,LGCM - DF,Law.com Compass Data Feed,1,,,Time-Based,Law.com
01tTm00000BU18QIAT,CCAM,Corporate Counsel,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU4foIAD,LAWM,Law.com,1,Law.com,,Time-Based,Law.com
01tTm00000BU4keIAD,LGCM,Law.com Compass (Enterprise),1,,,Time-Based,Law.com
01tTm00000BU7aPIAT,LARM,Law.com Radar,1,Radar Standalone,,Time-Based,Law.com
01tTm00000BU7grIAD,LRLM,Law.com Radar Litigation Surveillance Regional,1,Radar Standalone - 1 region,,Time-Based,Law.com
01tTm00000BU7lhIAD,LRCM,Law.com Radar Client Surveillance Federal / State,1,Radar Standalone - all states,,Time-Based,Law.com
01tTm00000BU7rLIAT,DLOM,Delaware Law Weekly Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rMIAT,LDAM,Litigation Daily,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rNIAT,NLOM,National Law Journal Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rOIAT,NJOM,New Jersey Law Journal Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rPIAT,NYOM,New York Law Journal online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rQIAT,SCIM,Supreme Court Brief Site License,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rRIAT,TXOM,Texas Lawyer Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rSIAT,TALM,The American Lawyer,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rTIAT,TIOM,The Legal Intelligencer Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU7rUIAT,RCOM,The Recorder Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU8JZIA1,CTOM,Connecticut Law Tribune Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU8MnIAL,DBOM,Daily Business Review Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU8OPIA1,DCOM,Delaware Bus Court Insider Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU8UrIAL,DDEM,Daily Decision Alert Service,1,Regional Publication,,Time-Based,Law.com
01tTm00000BU8t3IAD,DROM,Daily Report Online,1,Regional Publication,,Time-Based,Law.com
01tTm00000Bb2kUIAR,AFPM,Accounting and Financial Planning for Law Firms,1,,,Time-Based,Law.com
01tTm00000Bb2kVIAR,ALLM,Asset Logo & Licensing,1,,,Time-Based,Law.com
01tTm00000Bb2kWIAR,BAOM,Bankruptcy Strategist Online,1,,,Time-Based,Law.com
01tTm00000Bb2kXIAR,CETM,CET: Continuing Education Bundle,1,,,Time-Based,Law.com
01tTm00000Bb2kYIAR,CHLM,China Law and Practice,1,,,Time-Based,Law.com
01tTm00000Bb2kZIAR,CYOM,Cybersecurity Law and Strategy Online,1,,,Time-Based,Law.com
01tTm00000Bb2kaIAB,EFOM,Entertainment Law & Finance Online,1,,,Time-Based,Law.com
01tTm00000Bb2kbIAB,GLBM,Global Leaders in Law Annual Membership,1,,,Time-Based,Lexology Pro
01tTm00000Bb2kcIAB,LADM,Lean Adviser,1,"Lean Advisor falls under the Law.com umbrella of legal products offering everyday lessons and tools to help lawyers deliver clients better strategy, work plans, communication and follow - up. The subscription includes blog posts, tools / lessons, videos, and quizzes at the end of completion users will be given a certification badge for their LinkedIn profile.",,Time-Based,Law.com
01tTm00000Bb2keIAB,LNVM,Law.com News Vault,1,,,Time-Based,Law.com
01tTm00000Bb2kfIAB,LWKM,Law.Com International,1,,,Time-Based,Law.com
01tTm00000Bb2kgIAB,MLOM,Marketing the Law Firm Online,1,,,Time-Based,Law.com
01tTm00000Bb2khIAB,NYLM,New York Law Journal,1,,,Time-Based,Law.com
01tTm00000Bb2kkIAB,VSCM,VSCM: Verdict Search Bundle,1,,,Time-Based,Law.com
01tTm00000Bb2llIAB,WEB,Verdict Search Annual,1,,,Time-Based,Verdict Search 
01tTm00000BmSIFIA3,Law.com Pro,Law.com Pro,1,Law.com + Compass,,Time-Based,Law.com
01tTm00000CScEmIAL,Mid Market Pro Bundle,Mid Market Pro Bundle,1,Law.com + VerdictSearch - Bundle,,Time-Based,Verdict Search 
01tTm00000CdPVtIAN,VSCUSTOM,VerdictSearch Custom Research,1,,,Time-Based,Verdict Search 
01tTm00000CdPXVIA3,VSDATA,Verdict Search Data Pull,1,,,Time-Based,Verdict Search 
