"Field","NonBlank","PctPopulated","IsCheckbox","PctTrue"
"Identify__c","13259","100","False",""
"Closed_Won__c","13259","100","False",""
"Evaluate__c","13259","100","False",""
"Qualify__c","13259","100","False",""
"Sales_Stage__c","13259","100","False",""
"Form_Name__c","13256","100","False",""
"Lead_Converted__c","13259","100","True","0"
"Sales_Rep__c","13258","100","False",""
"Close__c","13259","100","False",""
"Salesforce_Pardot_Form_Completions_ID__c","13259","100","False",""
"Brand__c","13259","100","False",""
"Clay_Routed__c","13259","100","True","11.8"
"Owner_Name__c","13259","100","False",""
"Converted_to_Opportunity__c","13259","100","True","5.4"
"Closed_Lost__c","13259","100","False",""
"LBR_Legal_Entity__c","13259","100","False",""
"Converted_to_Sale__c","13259","100","True","1"
"CreatedById","13259","100","False",""
"SystemModstamp","13259","100","False",""
"LastModifiedById","13259","100","False",""
"CreatedDate","13259","100","False",""
"RecordTypeId","13259","100","False",""
"CurrencyIsoCode","13259","100","False",""
"Id","13259","100","False",""
"LastModifiedDate","13259","100","False",""
"IsDeleted","13259","100","True","0"
"OwnerId","13259","100","False",""
"Name","13259","100","False",""
"Email__c","13251","99.9","False",""
"Prospect_ID__c","13251","99.9","False",""
"Prospect_Name__c","13251","99.9","False",""
"Company__c","13251","99.9","False",""
"Prospect_s_Region__c","13196","99.5","False",""
"Country__c","13191","99.5","False",""
"Phone__c","13085","98.7","False",""
"Job_Title__c","12704","95.8","False",""
"Job_Role__c","12402","93.5","False",""
"Pardot_Form_Completion__c","12109","91.3","False",""
"Organisation_Type__c","11871","89.5","False",""
"Pardot_Phone_Number__c","8216","62","False",""
"Lead_ID__c","7196","54.3","False",""
"Lead__c","7196","54.3","False",""
"Days_to_Conversion__c","6210","46.8","False",""
"Date_Completed__c","6210","46.8","False",""
"Contact_ID__c","6055","45.7","False",""
"Contact__c","6055","45.7","False",""
"Account_Contact__c","6026","45.4","False",""
"Reason_Disqualified__c","5588","42.1","False",""
"Campaign__c","5058","38.1","False",""
"Product_Brand__c","1448","10.9","False",""
"PFC_Source__c","1150","8.7","False",""
"Comments__c","910","6.9","False",""
"Opportunity_Close_Date__c","718","5.4","False",""
"Opportunity__c","718","5.4","False",""
"Opportunity_Stage__c","718","5.4","False",""
"Days_to_Opp_Closed__c","718","5.4","False",""
"Work_Areas__c","402","3","False",""
"Next_Contact_Date__c","351","2.6","False",""
"Work_Jurisdictions__c","290","2.2","False",""
"LastViewedDate","246","1.9","False",""
"LastReferencedDate","246","1.9","False",""
"Related_Form_Completion__c","209","1.6","False",""
"Next_Step__c","204","1.5","False",""
"Opp_Closed_Won_in_Days__c","139","1","False",""
"LastActivityDate","123","0.9","False",""
"Score_Reasoning__c","0","0","False",""
"Fit_Score__c","0","0","False",""
"Account_Lead__c","0","0","False",""
"Lexology_Newsfeed_Subscriber_Date__c","0","0","False",""
"UTM_Content__c","0","0","False",""
"UTM_Campaign__c","0","0","False",""
"UTM_Term__c","0","0","False",""
"UTM_Source__c","0","0","False",""
"UTM_Medium__c","0","0","False",""
